node,t_s,phase,state,stability,availability,consec_fail,disconnects,rejoins,recovery_ms
h100,0.01,healthy,READY,0.98,1,0,0,0,0
h100,0.51,healthy,READY,0.9802,1,0,0,0,0
h100,1.01,healthy,READY,0.9802,1,0,0,0,0
h100,1.51,healthy,READY,0.9802,1,0,0,0,0
h100,2.01,healthy,READY,0.9805,1,0,0,0,0
h100,2.52,healthy,READY,0.9805,1,0,0,0,0
h100,3.02,healthy,READY,0.9805,1,0,0,0,0
h100,3.52,healthy,READY,0.9809,1,0,0,0,0
h100,4.02,failing,READY,0.9809,1,0,0,0,0
h100,4.52,failing,READY,0.9809,1,0,0,0,0
h100,5.02,failing,READY,0.9809,1,0,0,0,0
h100,5.53,failing,OFFLINE,0.9119,0.938,1,1,0,0
h100,6.03,failing,OFFLINE,0.9119,0.938,1,1,0,0
h100,6.53,failing,OFFLINE,0.9119,0.938,1,1,0,0
h100,7.03,failing,OFFLINE,0.9119,0.938,1,1,0,0
h100,7.53,failing,OFFLINE,0.8089,0.882,2,1,0,0
h100,8.04,failing,OFFLINE,0.8089,0.882,2,1,0,0
h100,8.54,failing,OFFLINE,0.8089,0.882,2,1,0,0
h100,9.04,failing,OFFLINE,0.8089,0.882,2,1,0,0
h100,9.54,failing,OFFLINE,0.744,0.833,3,1,0,0
h100,10.05,failing,OFFLINE,0.744,0.833,3,1,0,0
h100,10.55,failing,OFFLINE,0.744,0.833,3,1,0,0
h100,11.05,failing,OFFLINE,0.744,0.833,3,1,0,0
h100,11.55,failing,OFFLINE,0.744,0.833,3,1,0,0
h100,12.05,failing,OFFLINE,0.7028,0.789,4,1,0,0
h100,12.55,failing,OFFLINE,0.7028,0.789,4,1,0,0
h100,13.06,failing,OFFLINE,0.7028,0.789,4,1,0,0
h100,13.56,failing,OFFLINE,0.6755,0.75,5,1,0,0
h100,14.06,failing,OFFLINE,0.6755,0.75,5,1,0,0
h100,14.56,failing,OFFLINE,0.6755,0.75,5,1,0,0
h100,15.06,failing,OFFLINE,0.6755,0.75,5,1,0,0
h100,15.56,failing,OFFLINE,0.6563,0.714,6,1,0,0
h100,16.07,failing,OFFLINE,0.6563,0.714,6,1,0,0
h100,16.57,failing,OFFLINE,0.6563,0.714,6,1,0,0
h100,17.07,failing,OFFLINE,0.6419,0.682,7,1,0,0
h100,17.57,failing,OFFLINE,0.6419,0.682,7,1,0,0
h100,18.07,recovering,OFFLINE,0.6419,0.682,7,1,0,0
h100,18.58,recovering,OFFLINE,0.6419,0.682,7,1,0,0
h100,19.08,recovering,OFFLINE,0.6419,0.682,7,1,0,0
h100,19.58,recovering,RECOVERING,0.6574,0.696,0,1,1,13993
h100,20.08,recovering,RECOVERING,0.6574,0.696,0,1,1,13993
